iter	Passed	Remaining
1511	59041	64977
1512	59078	64936
1513	59119	64899
1514	59157	64858
1515	59202	64826
1516	59237	64782
1517	59275	64741
1518	59309	64698
1519	59348	64658
1520	59415	64649
1521	59452	64609
1522	59487	64565
1523	59519	64518
1524	59555	64476
1525	59591	64433
1526	59636	64401
1527	59672	64359
1528	59709	64318
1529	59748	64278
1530	59781	64233
1531	59819	64192
1532	59859	64154
1533	59892	64109
1534	59929	64067
1535	59966	64026
1536	60003	63985
1537	60040	63944
1538	60074	63900
1539	60109	63857
1540	60146	63814
1541	60183	63774
1542	60225	63737
1543	60266	63701
1544	60303	63660
1545	60342	63621
1546	60380	63581
1547	60420	63543
1548	60458	63502
1549	60490	63456
1550	60524	63412
1551	60562	63372
1552	60600	63331
1553	60637	63290
1554	60687	63263
1555	60725	63222
1556	60762	63181
1557	60799	63141
1558	60834	63098
1559	60874	63059
1560	60911	63019
1561	60951	62980
1562	60994	62946
1563	61031	62904
1564	61067	62862
1565	61101	62817
1566	61141	62780
1567	61181	62741
1568	61218	62701
1569	61256	62661
1570	61296	62623
1571	61339	62587
1572	61376	62547
1573	61417	62509
1574	61455	62469
1575	61489	62426
1576	61525	62384
1577	61562	62343
1578	61612	62314
1579	61646	62270
1580	61683	62229
1581	61721	62189
1582	61759	62149
1583	61798	62110
1584	61841	62076
1585	61883	62040
1586	61921	61999
1587	61960	61960
1588	61996	61918
1589	62030	61874
1590	62066	61832
1591	62107	61794
1592	62151	61760
1593	62188	61720
1594	62225	61678
1595	62264	61640
1596	62310	61607
1597	62351	61571
1598	62386	61527
1599	62425	61488
1600	62462	61448
1601	62502	61410
1602	62542	61371
1603	62576	61328
1604	62616	61290
1605	62651	61246
1606	62690	61207
1607	62727	61166
1608	62768	61129
1609	62815	61098
1610	62868	61073
1611	62908	61035
1612	62947	60996
1613	62984	60954
1614	63028	60921
1615	63075	60889
1616	63116	60852
1617	63157	60815
1618	63194	60773
1619	63232	60734
1620	63267	60691
1621	63309	60655
1622	63351	60619
1623	63392	60582
1624	63430	60542
1625	63469	60503
1626	63514	60469
1627	63560	60437
1628	63600	60398
1629	63640	60360
1630	63681	60323
1631	63719	60283
1632	63776	60261
1633	63817	60224
1634	63858	60186
1635	63900	60151
1636	63942	60114
1637	63975	60069
1638	64014	60031
1639	64055	59993
1640	64093	59953
1641	64131	59913
1642	64184	59887
1643	64222	59847
1644	64274	59819
1645	64310	59778
1646	64353	59742
1647	64390	59702
1648	64435	59668
1649	64471	59626
1650	64507	59584
1651	64547	59546
1652	64595	59515
1653	64635	59477
1654	64675	59438
1655	64710	59396
